run_date,disease,state,year,cumulative_notifications
2025-07-16,COVID-19,NSW,2025,55669
2025-07-23,COVID-19,NSW,2025,57941
2025-07-30,COVID-19,NSW,2025,60183
2025-08-06,COVID-19,NSW,2025,62072
2025-08-13,COVID-19,NSW,2025,63615
2025-08-20,COVID-19,NSW,2025,65138
2025-08-27,COVID-19,NSW,2025,66611
2025-09-03,COVID-19,NSW,2025,68083
2025-09-10,COVID-19,NSW,2025,69454
2025-09-17,COVID-19,NSW,2025,70587
2025-09-24,COVID-19,NSW,2025,71778
2025-10-01,COVID-19,NSW,2025,72713
2025-10-08,COVID-19,NSW,2025,73424
2025-10-15,COVID-19,NSW,2025,74177
2025-10-22,COVID-19,NSW,2025,74820
2025-10-29,COVID-19,NSW,2025,75423
2025-11-05,COVID-19,NSW,2025,76060
2025-11-12,COVID-19,NSW,2025,76796
2025-11-19,COVID-19,NSW,2025,77574
2025-11-26,COVID-19,NSW,2025,78412
2025-12-03,COVID-19,NSW,2025,79145
2025-12-10,COVID-19,NSW,2025,79892
2025-12-17,COVID-19,NSW,2025,80660
2025-12-24,COVID-19,NSW,2025,81480
2026-01-02,COVID-19,NSW,2026,0
2026-01-07,COVID-19,NSW,2026,386
2026-01-14,COVID-19,NSW,2026,953
2026-01-21,COVID-19,NSW,2026,1487
2026-01-28,COVID-19,NSW,2026,1898
2026-02-04,COVID-19,NSW,2026,2485
2026-02-11,COVID-19,NSW,2026,3134
2026-02-18,COVID-19,NSW,2026,3882
2026-02-25,COVID-19,NSW,2026,4819
2026-03-04,COVID-19,NSW,2026,5756
2026-03-11,COVID-19,NSW,2026,6723
2026-03-18,COVID-19,NSW,2026,7762
2026-03-25,COVID-19,NSW,2026,8724
2026-04-01,COVID-19,NSW,2026,9811
2026-04-08,COVID-19,NSW,2026,10652
2026-04-15,COVID-19,NSW,2026,11660
2026-04-22,COVID-19,NSW,2026,12563
2026-04-29,COVID-19,NSW,2026,13279
2026-05-06,COVID-19,NSW,2026,14187
2026-05-13,COVID-19,NSW,2026,15126
2026-05-20,COVID-19,NSW,2026,16216
2026-05-27,COVID-19,NSW,2026,17402
2026-06-03,COVID-19,NSW,2026,18432
2026-06-10,COVID-19,NSW,2026,19521
2026-06-17,COVID-19,NSW,2026,20722
2026-06-24,COVID-19,NSW,2026,21804
2026-07-01,COVID-19,NSW,2026,22663
2026-07-08,COVID-19,NSW,2026,23654
2026-07-15,COVID-19,NSW,2026,24957
2024-10-02,COVID-19,NT,2024,2276
2024-10-09,COVID-19,NT,2024,2294
2024-10-16,COVID-19,NT,2024,2317
2024-10-23,COVID-19,NT,2024,2319
2024-10-30,COVID-19,NT,2024,2343
2024-11-06,COVID-19,NT,2024,2386
2024-11-13,COVID-19,NT,2024,2444
2024-11-20,COVID-19,NT,2024,2478
2024-11-27,COVID-19,NT,2024,2506
2024-12-04,COVID-19,NT,2024,2566
2024-12-11,COVID-19,NT,2024,2627
2024-12-18,COVID-19,NT,2024,2694
2024-12-25,COVID-19,NT,2024,2766
2025-01-02,COVID-19,NT,2025,0
2025-01-08,COVID-19,NT,2025,58
2025-01-15,COVID-19,NT,2025,127
2025-01-22,COVID-19,NT,2025,189
2025-01-29,COVID-19,NT,2025,225
2025-02-05,COVID-19,NT,2025,292
2025-02-13,COVID-19,NT,2025,352
2025-02-19,COVID-19,NT,2025,366
2025-02-26,COVID-19,NT,2025,419
2025-03-05,COVID-19,NT,2025,452
2025-03-12,COVID-19,NT,2025,475
2025-03-19,COVID-19,NT,2025,490
2025-03-26,COVID-19,NT,2025,508
2025-04-02,COVID-19,NT,2025,514
2025-04-09,COVID-19,NT,2025,530
2025-04-16,COVID-19,NT,2025,545
2025-04-23,COVID-19,NT,2025,560
2025-04-30,COVID-19,NT,2025,581
2025-05-07,COVID-19,NT,2025,595
2025-05-14,COVID-19,NT,2025,614
2025-05-21,COVID-19,NT,2025,634
2025-05-28,COVID-19,NT,2025,646
2025-06-04,COVID-19,NT,2025,670
2025-06-11,COVID-19,NT,2025,699
2025-06-18,COVID-19,NT,2025,757
2025-06-25,COVID-19,NT,2025,790
2025-07-02,COVID-19,NT,2025,817
2025-07-09,COVID-19,NT,2025,826
2025-07-16,COVID-19,NT,2025,865
2025-07-23,COVID-19,NT,2025,895
2025-07-30,COVID-19,NT,2025,922
2025-08-06,COVID-19,NT,2025,948
2025-08-13,COVID-19,NT,2025,974
2025-08-20,COVID-19,NT,2025,1024
2025-08-27,COVID-19,NT,2025,1047
2025-09-03,COVID-19,NT,2025,1076
2025-09-10,COVID-19,NT,2025,1109
2025-09-17,COVID-19,NT,2025,1132
2025-09-24,COVID-19,NT,2025,1149
2025-10-01,COVID-19,NT,2025,1183
2025-10-08,COVID-19,NT,2025,1208
2025-10-15,COVID-19,NT,2025,1245
2025-10-22,COVID-19,NT,2025,1273
2025-10-29,COVID-19,NT,2025,1293
2025-11-05,COVID-19,NT,2025,1323
2025-11-12,COVID-19,NT,2025,1357
2025-11-19,COVID-19,NT,2025,1387
2025-11-26,COVID-19,NT,2025,1444
2025-12-03,COVID-19,NT,2025,1485
2025-12-10,COVID-19,NT,2025,1536
2025-12-17,COVID-19,NT,2025,1572
2025-12-24,COVID-19,NT,2025,1628
2026-01-02,COVID-19,NT,2026,0
2026-01-07,COVID-19,NT,2026,0
2026-01-14,COVID-19,NT,2026,23
2026-01-21,COVID-19,NT,2026,34
2026-01-28,COVID-19,NT,2026,42
2026-02-04,COVID-19,NT,2026,58
2026-02-11,COVID-19,NT,2026,66
2026-02-18,COVID-19,NT,2026,71
2026-02-25,COVID-19,NT,2026,81
2026-03-04,COVID-19,NT,2026,86
2026-03-11,COVID-19,NT,2026,96
2026-03-18,COVID-19,NT,2026,109
